"ID" "seqid" "source" "type" "start" "end" "score" "strand" "phase" "inference" "locus_tag" "product" "Gene" "PLE" "orientation" "Category"
"OFJNDNAD_00022" "PLE11_DRR394994_84539-103840" "Prodigal:002006" "CDS" 12809 13030 NA "+" 0 "ab initio prediction:Prodigal:002006" "OFJNDNAD_00022" "hypothetical protein" "group_37" "PLE11" TRUE "Gene found in PLE1"
"OFJNDNAD_00023" "PLE11_DRR394994_84539-103840" "Prodigal:002006" "CDS" 13030 13785 NA "+" 0 "ab initio prediction:Prodigal:002006" "OFJNDNAD_00023" "hypothetical protein" "group_39" "PLE11" TRUE "Gene found in PLE1"
"OFJNDNAD_00024" "PLE11_DRR394994_84539-103840" "Prodigal:002006" "CDS" 13874 14767 NA "+" 0 "ab initio prediction:Prodigal:002006" "OFJNDNAD_00024" "hypothetical protein" "group_40" "PLE11" TRUE "Gene found in PLE1"
"OFJNDNAD_00025" "PLE11_DRR394994_84539-103840" "Prodigal:002006" "CDS" 14837 15055 NA "+" 0 "ab initio prediction:Prodigal:002006" "OFJNDNAD_00025" "hypothetical protein" "group_18" "PLE11" TRUE "Gene found in PLE1"
"OFJNDNAD_00026" "PLE11_DRR394994_84539-103840" "Prodigal:002006" "CDS" 15055 15264 NA "+" 0 "ab initio prediction:Prodigal:002006" "OFJNDNAD_00026" "hypothetical protein" "group_42" "PLE11" TRUE "Gene found in PLE1"
"OFJNDNAD_00027" "PLE11_DRR394994_84539-103840" "Prodigal:002006" "CDS" 15264 15746 NA "+" 0 "ab initio prediction:Prodigal:002006" "OFJNDNAD_00027" "hypothetical protein" "group_43" "PLE11" TRUE "Gene found in PLE1"
"OFJNDNAD_00028" "PLE11_DRR394994_84539-103840" "Prodigal:002006" "CDS" 15727 16326 NA "+" 0 "ab initio prediction:Prodigal:002006" "OFJNDNAD_00028" "hypothetical protein" "group_44" "PLE11" TRUE "Gene found in PLE1"
"OFJNDNAD_00029" "PLE11_DRR394994_84539-103840" "Prodigal:002006" "CDS" 16568 16906 NA "+" 0 "ab initio prediction:Prodigal:002006" "OFJNDNAD_00029" "hypothetical protein" "group_46" "PLE11" TRUE "Gene found in PLE1"
"OFJNDNAD_00030" "PLE11_DRR394994_84539-103840" "Prodigal:002006" "CDS" 16920 18668 NA "+" 0 "ab initio prediction:Prodigal:002006" "OFJNDNAD_00030" "hypothetical protein" "group_48" "PLE11" TRUE "Gene found in PLE1"
"OFJNDNAD_00031" "PLE11_DRR394994_84539-103840" "Prodigal:002006" "CDS" 18682 19302 NA "+" 0 "ab initio prediction:Prodigal:002006" "OFJNDNAD_00031" "hypothetical protein" "group_49" "PLE11" TRUE "Gene found in PLE1"
